,utterance,response,response_time,speaker,responder,utterance_time,error,age,past_tense,plural,overlap,source_file,overreg_candidate,overreg
185,could could I do this could I broke them up,yeah,0.024,CHI,MOT,4.214,TRUE,31,TRUE,FALSE,FALSE,fraser/2-07-06a.xml,TRUE,F
186,these cats not singing,they're not singing,0.139,CHI,MOT,1.997,TRUE,31,FALSE,TRUE,FALSE,fraser/2-07-06b.xml,TRUE,F
187,I were playing Shrek,was was Andy,0,CHI,MOT,1.551,TRUE,31,TRUE,FALSE,FALSE,fraser/2-07-06b.xml,TRUE,F
188,I made mess,why,0.283,CHI,MOT,1.196,TRUE,31,TRUE,FALSE,FALSE,fraser/2-07-07a.xml,TRUE,F
189,I broke it,you broke the jigsaw,1.827,CHI,MOT,1.404,TRUE,31,TRUE,FALSE,FALSE,fraser/2-07-07a.xml,TRUE,F
190,what did that can be,what is it,0.174,CHI,MOT,2.496,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-01b.xml,TRUE,F
191,it got spilled,what have you been eating,0.081,CHI,MOT,1.184,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-02a.xml,TRUE,F
192,then I went downstairs,and then you went downstairs,0.185,CHI,MOT,2.566,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-02a.xml,TRUE,F
193,I fell,because you fell,0.36,CHI,MOT,1.451,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-02a.xml,TRUE,F
194,who was that is,you shut the door,0.267,CHI,MOT,1.811,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-02a.xml,TRUE,F
195,what they called,oh he's flying upside,-0.198,CHI,MOT,1.753,TRUE,32,TRUE,FALSE,TRUE,fraser/2-08-04a.xml,TRUE,F
196,well I just falled then,did you just fall,0.058,CHI,MOT,2.16,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-04b.xml,TRUE,T
197,hey they got big block,yeah,0.058,CHI,MOT,2.45,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-04b.xml,TRUE,F
198,I done it,clever boy,0.058,CHI,MOT,0.976,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-04b.xml,TRUE,F
199,he's got letter,what colors his letter,0.024,CHI,MOT,1.637,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-05a.xml,TRUE,F
200,and what how does this one got,how many has that one got,0.023,CHI,MOT,2.519,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-05b.xml,TRUE,F
201,xxx got all the sheeps,yeah,0.777,CHI,MOT,2.938,TRUE,32,FALSE,TRUE,FALSE,fraser/2-08-05b.xml,TRUE,T
202,throwed them down,why did you throw them down,0.058,CHI,MOT,2.821,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-06a.xml,TRUE,T
203,is it was Daddy,yeah,0.116,CHI,MOT,2.078,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-06a.xml,TRUE,F
204,he's fell off his bike,he fell off his bike,0.093,CHI,MOT,3.471,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-06a.xml,TRUE,F
205,I broke it,you broke it,0.127,CHI,MOT,1.556,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-06a.xml,TRUE,F
206,look I done two puzzles,have you,-0.267,CHI,MOT,3.97,TRUE,32,FALSE,TRUE,TRUE,fraser/2-08-06a.xml,TRUE,F
207,I got a peas on my head,are you silly,0.116,CHI,MOT,2.252,TRUE,32,FALSE,TRUE,FALSE,fraser/2-08-06b.xml,TRUE,F
208,and who called,isn't that Thomas,0,CHI,MOT,3.483,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-06b.xml,TRUE,F
209,does it fixed,does it fit,0.29,CHI,MOT,1.858,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-06b.xml,TRUE,F
210,it falled,never mind,2.02,CHI,MOT,2.125,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-06b.xml,TRUE,T
211,it falled,it fell,0.279,CHI,MOT,2.925,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-06b.xml,TRUE,T
212,it falled,it fell down,0.917,CHI,MOT,2.137,TRUE,32,TRUE,FALSE,FALSE,fraser/2-08-06b.xml,TRUE,T
213,I run off,you did,0.035,CHI,MOT,1.649,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-03a.xml,TRUE,F
214,you was cross,I was cross wasn't I,-0.434,CHI,MOT,1.637,TRUE,33,TRUE,FALSE,TRUE,fraser/2-09-03a.xml,TRUE,F
215,Lala's falled,Lala fell,0.058,CHI,MOT,2.287,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-03a.xml,TRUE,T
216,I didn't broke it,you did break it because I saw you break it,0,CHI,MOT,1.405,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-05b.xml,TRUE,F
217,we got kitchen,yeah,0.313,CHI,MOT,2.264,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-05b.xml,TRUE,F
218,this one got spikes,that's right,-0.511,CHI,MOT,2.253,TRUE,33,FALSE,TRUE,TRUE,fraser/2-09-05b.xml,TRUE,F
219,they not plants,oh no those are his his feet,-0.314,CHI,MOT,1.463,TRUE,33,FALSE,TRUE,TRUE,fraser/2-09-05b.xml,TRUE,F
220,I got finger,you've got fingers,0.742,CHI,MOT,1.463,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-05v.xml,TRUE,F
221,I finished,have you now,0.938,CHI,MOT,1.138,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-07a.xml,TRUE,F
222,I broke it,you broke it,0.151,CHI,MOT,1.66,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-07b.xml,TRUE,F
223,this I broke it,have you,0.337,CHI,MOT,2.845,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-07b.xml,TRUE,F
224,does does Daddy got a,what,2.229,CHI,MOT,5.701,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-07b.xml,TRUE,F
225,so it already just goed,it's a good train isn't it,3.081,CHI,MOT,2.577,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-08a.xml,TRUE,T
226,a forgot the other people,oh dear,0,CHI,MOT,3.031,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-08a.xml,TRUE,F
227,Jean Jeannine's come,not today she isn't,0.801,CHI,MOT,3.449,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-08b.xml,TRUE,F
228,I didn't yet,oh not yet no,0.158,CHI,MOT,1.37,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-09a.xml,TRUE,F
229,I didn't like the blue one said,oh,0.012,CHI,MOT,3.285,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-09b.xml,TRUE,F
230,he drawn me,did she draw you,0.325,CHI,MOT,1.532,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-09b.xml,TRUE,F
231,she drawn me,I think she was drawing the monster,0.011,CHI,MOT,1.591,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-09b.xml,TRUE,F
232,somebody broke him,who broke him,0.058,CHI,MOT,1.962,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-09b.xml,TRUE,F
233,xxx they waked up,oh,0.569,CHI,MOT,3.366,TRUE,33,TRUE,FALSE,FALSE,fraser/2-09-09b.xml,TRUE,T
234,there was I weren't scared at the round boat,you weren't scared in the round boat,0.134,CHI,MOT,5.729,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-00a.xml,TRUE,F
235,and there was no monster,because there was no monsters,0,CHI,MOT,2.142,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-00a.xml,TRUE,F
236,those yellow that yellow pieces there,that yellow bit is fluff,0.418,CHI,MOT,3.819,TRUE,34,FALSE,TRUE,FALSE,fraser/2-10-00a.xml,TRUE,F
237,where I falled,mm,0.255,CHI,MOT,1.347,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-00a.xml,TRUE,T
238,they was so poor,they were so poor,3.815,CHI,MOT,2.229,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-00a.xml,TRUE,F
239,ah I stuck I stuck,is he rescuing him,0.07,CHI,MOT,1.811,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-00a.xml,TRUE,F
240,I going trapped it,are you going to trap it,0.65,CHI,MOT,1.405,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-00a.xml,TRUE,F
241,but I didn't put my fleece in my trousers,you did,1.234,CHI,MOT,3.959,TRUE,34,FALSE,TRUE,FALSE,fraser/2-10-00b.xml,TRUE,F
242,Charlie don't play worms do they Mummy,what,0,CHI,MOT,3.46,TRUE,34,FALSE,TRUE,FALSE,fraser/2-10-00b.xml,TRUE,F
243,where birds,on the windowsill,0.047,CHI,MOT,0.94,TRUE,34,FALSE,TRUE,FALSE,fraser/2-10-00b.xml,TRUE,F
244,the that boy playing with the blocks,yeah,-0.285,CHI,MOT,3.111,TRUE,34,FALSE,TRUE,TRUE,fraser/2-10-01a.xml,TRUE,F
245,I broke the map too,you broke it as well,0.105,CHI,MOT,2.6,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-01a.xml,TRUE,F
246,did you went to the shop to see Jwww,I did,0,CHI,MOT,3.622,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-01a.xml,TRUE,F
247,they falled over,oh,1.602,CHI,MOT,1.8,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-01a.xml,TRUE,T
248,why were I crying,I don't know,0.023,CHI,MOT,2.009,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-01a.xml,TRUE,F
249,and they falled over,and they fell over,0.082,CHI,MOT,2.229,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-01b.xml,TRUE,T
250,look he waked up,has he woken up,0,CHI,MOT,1.509,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-01b.xml,TRUE,T
251,but it goed,does it go away,0.093,CHI,MOT,1.439,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-01b.xml,TRUE,T
252,and what he got,those are ants,0,CHI,MOT,1.741,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-01b.xml,TRUE,F
253,who drawed those,I don't know,0,CHI,MOT,1.753,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-01b.xml,TRUE,T
254,I can't doed it,do you want me to do it for you,1.486,CHI,MOT,2.032,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-01b.xml,TRUE,?
255,that's he got one eye,Fraser,-1.614,CHI,MOT,2.891,TRUE,34,TRUE,FALSE,TRUE,fraser/2-10-01b.xml,TRUE,F
256,zero don't want to get dressed,you are gonna going to get dressed Fraser,-0.49,CHI,MOT,1.73,TRUE,34,TRUE,FALSE,TRUE,fraser/2-10-03a.xml,TRUE,F
257,this goes in that papers,well,2.293,CHI,MOT,2.375,TRUE,34,FALSE,TRUE,FALSE,fraser/2-10-03a.xml,TRUE,F
258,and that haven't got any horns,no,-0.32,CHI,MOT,3.065,TRUE,34,FALSE,TRUE,TRUE,fraser/2-10-03b.xml,TRUE,F
259,and and that one is waked up,yes,0.069,CHI,MOT,2.472,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-03b.xml,TRUE,T
260,and that one waked up,that's right,-1.521,CHI,MOT,1.544,TRUE,34,TRUE,FALSE,TRUE,fraser/2-10-03b.xml,TRUE,T
261,what did I had on holiday,that you had on holiday,0.174,CHI,MOT,3.309,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-03b.xml,TRUE,F
262,it doesn't stamps,it should do,0,CHI,MOT,1.625,TRUE,34,FALSE,TRUE,FALSE,fraser/2-10-03b.xml,TRUE,F
263,did I spilled it all those books,yes,0.046,CHI,MOT,3.379,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-05b.xml,TRUE,F
264,that what was that one I wear,yeah,0.012,CHI,MOT,4.017,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-05b.xml,TRUE,F
265,is it not little blocks,no,-0.378,CHI,MOT,2.404,TRUE,34,FALSE,TRUE,TRUE,fraser/2-10-05b.xml,TRUE,F
266,come on let get to it,come on let's get to it,0.557,CHI,MOT,2.392,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-05b.xml,TRUE,F
267,fell,it fell,0.476,CHI,MOT,0.767,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-05v.xml,TRUE,F
268,I drawed it,you drawed on your hand,0.151,CHI,MOT,1.8,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-06a.xml,TRUE,T
269,who flushed toilet,maybe Maisie flushed the toilet,0.302,CHI,MOT,2.346,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-06a.xml,TRUE,F
270,did you found him,uh huh,0,CHI,MOT,1.684,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-06b.xml,TRUE,F
271,Shrek sayed it,yeah,0.07,CHI,MOT,2.136,TRUE,34,TRUE,FALSE,FALSE,fraser/2-10-06b.xml,TRUE,T
272,they hurted me,the spiky flowers,0.012,CHI,MOT,1.707,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-00a.xml,TRUE,T
273,maybe that Tyrannosaurus_rex ate them,do you think the Tyrannosaurus_rex ate them,0.36,CHI,MOT,4.54,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-00a.xml,TRUE,F
274,maybe we taked the gorillas away,aren't you supposed to spin this here,0,CHI,MOT,4.481,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-00a.xml,TRUE,T
275,and he and he runned away,then he runs away,0.011,CHI,MOT,2.427,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-00b.xml,TRUE,T
276,why why why why do those people got ice,because its a hot day there,0.002,CHI,MOT,6.002,TRUE,35,TRUE,TRUE,FALSE,fraser/2-11-00b.xml,TRUE,F
277,she throwed it,did Lala throw the dice,0.488,CHI,MOT,1.997,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-00b.xml,TRUE,T
278,maybe h maybe he maybe maybe maybe he fell,maybe he fell,-0.302,CHI,MOT,8.382,TRUE,35,TRUE,FALSE,TRUE,fraser/2-11-00b.xml,TRUE,F
279,he's handed the spoon,oh,1.463,CHI,MOT,2.775,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-00b.xml,TRUE,F
280,what they made,what have they made,0.371,CHI,MOT,1.823,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-01a.xml,TRUE,F
281,that two towels,two blue towels,0.046,CHI,MOT,2.74,TRUE,35,FALSE,TRUE,FALSE,fraser/2-11-01b.xml,TRUE,F
282,have have your plants grown up yet,have my plants grown up yet,0.034,CHI,MOT,3.402,TRUE,35,TRUE,TRUE,FALSE,fraser/2-11-01b.xml,TRUE,F
283,xxx and them other grown up yet,no,0.081,CHI,MOT,4.122,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-01b.xml,TRUE,F
284,maybe I broke it,you did break it,0.047,CHI,MOT,2.031,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-01b.xml,TRUE,F
285,xxx didn't said no,his grandmother didn't say no,0.162,CHI,MOT,2.717,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-01b.xml,TRUE,F
286,why does he counted,he wanted to see how many teeth you had,0.047,CHI,MOT,1.532,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-01b.xml,TRUE,F
287,he got all him spikes on his back,he's got orange spots,1.054,CHI,MOT,3.413,TRUE,35,TRUE,TRUE,FALSE,fraser/2-11-01b.xml,TRUE,F
288,it hurted me,did it hurt you,0.035,CHI,MOT,1.66,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-01b.xml,TRUE,T
289,why did you said so,you saw Jeannine today as well didn't you,1.162,CHI,MOT,3.611,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-02b.xml,TRUE,F
290,I singed that one,who's Dot Man,0,CHI,MOT,1.915,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-02b.xml,TRUE,T
291,who's he called,I know that's Orangekitten,-0.58,CHI,MOT,1.753,TRUE,35,TRUE,FALSE,TRUE,fraser/2-11-02b.xml,TRUE,F
292,two oranges circle,that's right,0.058,CHI,MOT,2.102,TRUE,35,FALSE,TRUE,FALSE,fraser/2-11-02v.xml,TRUE,F
293,look it's Jwww's got,what has he got,0.186,CHI,MOT,1.8,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-04a.xml,TRUE,F
294,I get these a lots of shapes,you're gonna going to get lots of shapes,1.244,CHI,MOT,2.729,TRUE,35,FALSE,TRUE,FALSE,fraser/2-11-04a.xml,TRUE,F
295,w w w w we we just was messing them up,I know,0.035,CHI,MOT,5.712,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-04a.xml,TRUE,F
296,play snakes and ladders Mummy and Daddy's room,no,0.151,CHI,MOT,3.111,TRUE,35,FALSE,TRUE,FALSE,fraser/2-11-04b.xml,TRUE,F
297,Swiper taked it,Swiper took the ball,0.151,CHI,MOT,1.973,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-04b.xml,TRUE,T
298,zero ate carrots,you ate carrots,-0.285,CHI,MOT,1.492,TRUE,35,FALSE,TRUE,TRUE,fraser/2-11-06b.xml,TRUE,F
299,you have to see the lions won't and the tigers won't scratch me up,shall we put some cream on it,1.706,CHI,MOT,8.522,TRUE,35,FALSE,TRUE,FALSE,fraser/2-11-06b.xml,TRUE,F
300,it is cars,imagine that,0.876,CHI,MOT,1.788,TRUE,35,FALSE,TRUE,FALSE,fraser/2-11-06b.xml,TRUE,F
301,teared it again,Jwww what,0.506,CHI,MOT,1.985,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-06b.xml,TRUE,T
302,it falled over,it's alright,0.096,CHI,MOT,2.229,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-06b.xml,TRUE,T
303,I can't find this bit off,do you want me to do it for you,3.85,CHI,MOT,2.142,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-06b.xml,TRUE,F
304,I made a present,pardon,0.801,CHI,MOT,2.397,TRUE,35,TRUE,FALSE,FALSE,fraser/2-11-06b.xml,TRUE,F
305,why those holes in,because it plugs into whatever you want to make work,0.37,CHI,MOT,1.962,TRUE,35,FALSE,TRUE,FALSE,fraser/2-11-06b.xml,TRUE,F
306,did did I drank it all,yeah you drank your Fruitshoot as well didn't you,0,CHI,MOT,2.276,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-00b.xml,TRUE,F
307,sheeps,sheeps,0.058,CHI,MOT,0.883,TRUE,36,FALSE,TRUE,FALSE,fraser/3-00-00b.xml,TRUE,T
308,they eated them all,did he eat them all up,0.058,CHI,MOT,1.754,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-00b.xml,TRUE,T
309,it sticked,oh,0.139,CHI,MOT,1.417,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-00b.xml,TRUE,T
310,is is those are dinosaurs,yeah they're dinosaurs,-0.203,CHI,MOT,2.276,TRUE,36,FALSE,TRUE,TRUE,fraser/3-00-02b.xml,TRUE,F
311,when Nwww goed in the paddling pool,yeah,0,CHI,MOT,2.868,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-04a.xml,TRUE,F
312,but now he got one teeth,now he's got one tooth,0.028,CHI,MOT,2.775,TRUE,36,FALSE,TRUE,FALSE,fraser/3-00-04b.xml,TRUE,F
313,that one that one up that one waked up,that one's woken up,0.126,CHI,MOT,4.888,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-04b.xml,TRUE,T
314,what did you bought,this,0.116,CHI,MOT,2.067,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-04b.xml,TRUE,F
315,why did why did you bought that,because,0.168,CHI,MOT,2.346,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-04b.xml,TRUE,F
316,but you came in didn't you,yeah,0.011,CHI,MOT,2.775,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-04b.xml,TRUE,F
317,what did it did,it's ripped a bit,0.082,CHI,MOT,1.683,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-04b.xml,TRUE,F
318,what did it did,what does it do,0.186,CHI,MOT,1.741,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-04b.xml,TRUE,F
319,did I did it,yeah,0.07,CHI,MOT,1.161,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-04b.xml,TRUE,F
320,it it needs that elephant right there what I sticked on,yeah that's right,0.003,CHI,MOT,3.797,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-05a.xml,TRUE,T
321,who made it,pardon,0.232,CHI,MOT,1.579,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-05b.xml,TRUE,F
322,that weren't a song,was it not a song,0.163,CHI,MOT,1.474,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-06a.xml,TRUE,F
323,it was a bird,yeah those are birds that are very far away aren't they,0.058,CHI,MOT,1.405,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-06a.xml,TRUE,F
324,there does no alligators,yes there are alligators,0.012,CHI,MOT,1.962,TRUE,36,FALSE,TRUE,FALSE,fraser/3-00-06a.xml,TRUE,F
325,did I had one,yeah you've already had one haven't you,0.07,CHI,MOT,1.8,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-06b.xml,TRUE,F
326,so I goed back home instead,what darling,1.117,CHI,MOT,2.659,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-06b.xml,TRUE,T
327,be he I didn't saw him,did you not see him,0.035,CHI,MOT,4.4,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-08a.xml,TRUE,F
328,those ones over there what we made,oh right yes,0.035,CHI,MOT,3.03,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-08a.xml,TRUE,F
329,you didn't went out did you Mum,well I did,0.047,CHI,MOT,2.345,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-08b.xml,TRUE,F
330,but why they got little bit water in,because the bath is still a little bit wet isn't it,0.126,CHI,MOT,3.216,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-08b.xml,TRUE,F
331,it breaked,did it break,0.712,CHI,MOT,1.545,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-10a.xml,TRUE,T
332,I already started,you look like you're making a mess to me,-0.336,CHI,MOT,2.043,TRUE,36,TRUE,FALSE,TRUE,fraser/3-00-10a.xml,TRUE,F
333,oops it come downs again,well put it on the floor,2.981,CHI,MOT,2.101,TRUE,36,FALSE,TRUE,FALSE,fraser/3-00-10a.xml,TRUE,F
334,but we didn't went in,but you didn't went in,0.163,CHI,MOT,1.857,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-10b.xml,TRUE,F
335,but you don't stamped on books do you,no,-0.627,CHI,MOT,2.949,TRUE,36,TRUE,FALSE,TRUE,fraser/3-00-10b.xml,TRUE,F
336,I already done the kangaroo,you've already done the kangaroo haven't you,0,CHI,MOT,2.925,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-10b.xml,TRUE,F
337,but why she not picking those muds up,she will do in a minute,0.76,CHI,MOT,3.285,TRUE,36,FALSE,TRUE,FALSE,fraser/3-00-10b.xml,TRUE,F
338,did I broke it,I hope not,0.116,CHI,MOT,1.672,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-10b.xml,TRUE,F
339,I hope I didn't broke it,and I hope you didn't break it as well,0.091,CHI,MOT,2.357,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-10b.xml,TRUE,F
340,did somebody made a mess,yeah,0.174,CHI,MOT,2.287,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-11a.xml,TRUE,F
341,I run away,and you had to have your tea didn't you,0.546,CHI,MOT,1.172,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-11a.xml,TRUE,F
342,why did we already done them,why've we already done them,0.834,CHI,MOT,2.573,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-11a.xml,TRUE,F
343,we haven't got I haven't got blue pile today,have you not,0.166,CHI,MOT,4.504,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-13b.xml,TRUE,F
344,we haven't got blue pile today,what happened to the blue pile then,0.058,CHI,MOT,2.543,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-13b.xml,TRUE,F
345,that's why it breaked,it's not very good is it,0.065,CHI,MOT,2.089,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-13b.xml,TRUE,T
346,I taked them off,oh Fraser,0.047,CHI,MOT,1.521,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-13b.xml,TRUE,T
347,and I were xxx,did you go to babyschool today,0.128,CHI,MOT,1.219,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-13b.xml,TRUE,F
348,but you wasn't cross,who wasn't cross,0.174,CHI,MOT,1.602,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-13b.xml,TRUE,F
349,Little_bear hurted it,Little_bear hurt it,0.023,CHI,MOT,3.169,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-13b.xml,TRUE,T
350,I want read these ones,no,-1.973,CHI,MOT,1.973,TRUE,36,FALSE,TRUE,TRUE,fraser/3-00-13v.xml,TRUE,F
351,look I got dinosaur piece,yeah keep going,0,CHI,MOT,1.672,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-13v.xml,TRUE,F
352,I breaked the Thomas thing,you did,0.559,CHI,MOT,2.751,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-15b.xml,TRUE,T
353,I telled them off,did you,0.093,CHI,MOT,1.382,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-15b.xml,TRUE,T
354,that bit came off,mhm hm,-1.753,CHI,MOT,1.776,TRUE,36,TRUE,FALSE,TRUE,fraser/3-00-15b.xml,TRUE,F
355,it breaked that bit,xxx and see,1.883,CHI,MOT,2.101,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-15b.xml,TRUE,T
356,they came out,what's come out,0.469,CHI,MOT,1.312,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-15b.xml,TRUE,F
357,it falled a bit,does it go,0.604,CHI,MOT,1.532,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-15b.xml,TRUE,T
358,why is that truck fell down,I don't know,0.342,CHI,MOT,3.158,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-16a.xml,TRUE,F
359,my trousers came off,come on let's get your pants back on please,3.668,CHI,MOT,2.473,TRUE,36,TRUE,TRUE,FALSE,fraser/3-00-16a.xml,TRUE,F
360,but why is that truck fell off,pardon,0.186,CHI,MOT,2.88,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-16a.xml,TRUE,F
361,now that one woken up didn't it,yeah he's woken up hasn't he,0,CHI,MOT,2.624,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-16a.xml,TRUE,F
362,but why she got why has she got mask,well they've all got masks haven't they because they've all made masks at school,0.75,CHI,MOT,3.634,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-16b.xml,TRUE,F
363,he taked it off,he did,0.025,CHI,MOT,1.393,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-16b.xml,TRUE,T
364,when I falled,did you bang it,0.119,CHI,MOT,1.858,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-16b.xml,TRUE,T
365,did you caught me,yeah,0.043,CHI,MOT,2.195,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-16b.xml,TRUE,F
366,who breaked the big truck,nobody broke it Fraser,0,CHI,MOT,2.89,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-16b.xml,TRUE,T
367,I throwed it,yeah,0.074,CHI,MOT,1.683,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-16b.xml,TRUE,T
368,we got some when we goed to the beach didn't we,that's right,0.267,CHI,MOT,3.645,TRUE,36,TRUE,FALSE,FALSE,fraser/3-00-16b.xml,TRUE,T
