utterance,response,speaker,responder,error,age,overreg,response_time,utterance_time,past_tense,plural,ul,error_type,rl
Nana Grandad brought it,Nana and Grandad brought it,CHI,MOT,FALSE,30,FALSE,0.4639999999999418,2.740000000000009,TRUE,FALSE,4,no error,5
dropped ones,you've dropped ones,CHI,MOT,TRUE,30,FALSE,0.15099999999983993,1.5790000000001783,FALSE,TRUE,2,other error,4
eat sweets,you're eating the sweets are you,CHI,MOT,FALSE,30,FALSE,-0.8470000000002074,2.019999999999982,FALSE,TRUE,2,no error,7
not where gone,don't you think it's going to be very big,CHI,MOT,FALSE,30,FALSE,1.4859999999998763,1.1959999999999127,TRUE,FALSE,3,no error,11
stuck,no,CHI,MOT,FALSE,30,FALSE,0.7550000000000097,1.0450000000000017,TRUE,FALSE,1,no error,1
bit my finger so,which finger did he bite,CHI,MOT,FALSE,30,FALSE,0.30700000000001637,2.187000000000012,TRUE,FALSE,4,no error,5
frightened mouse a chair,under her chair,CHI,MOT,FALSE,30,FALSE,-0.17300000000000182,1.7999999999999545,TRUE,FALSE,4,no error,3
one a poorly legs,poorly legs,CHI,MOT,FALSE,30,FALSE,0.5200000000002092,2.5599999999999454,FALSE,TRUE,4,no error,2
two ones,two ones,CHI,MOT,FALSE,30,FALSE,0.12700000000018008,1.0219999999999345,FALSE,TRUE,2,no error,2
what got here,look,CHI,MOT,FALSE,30,FALSE,0.24400000000014188,1.77599999999984,TRUE,FALSE,3,no error,1
two trains,ah,CHI,MOT,FALSE,30,FALSE,-1.9149999999999636,1.9149999999999636,FALSE,TRUE,2,no error,1
two wheels,putting,CHI,MOT,FALSE,30,FALSE,-1.0329999999999018,1.0340000000001055,FALSE,TRUE,2,no error,1
another traffic lights,another traffic lights,CHI,MOT,TRUE,30,FALSE,0.98700000000008,1.7179999999998472,FALSE,TRUE,3,other error,3
paying the moneys,you've finished your moneys,CHI,MOT,TRUE,30,FALSE,0.8479999999999563,1.462999999999738,FALSE,TRUE,3,other error,5
two ones,two ones,CHI,MOT,TRUE,30,FALSE,0.12700000000000955,1.218999999999994,FALSE,TRUE,2,other error,2
crisps,you'd like you'd like some juice,CHI,MOT,FALSE,30,FALSE,-0.9189999999999827,0.9199999999999591,FALSE,TRUE,1,no error,8
one cones two cones,yes,CHI,MOT,TRUE,30,FALSE,0.30199999999967986,1.9270000000001346,FALSE,TRUE,4,other error,1
glasses,what a silly_billy,CHI,MOT,FALSE,30,FALSE,-0.987999999999829,1.4169999999999163,FALSE,TRUE,1,no error,4
sultanas,there we are,CHI,MOT,FALSE,30,FALSE,-0.11799999999993815,1.961999999999989,FALSE,TRUE,1,no error,3
drop ones,you've dropped one,CHI,MOT,TRUE,30,FALSE,0.03499999999985448,1.0790000000001783,FALSE,TRUE,2,other error,4
sa mix done it,mix,CHI,MOT,FALSE,30,FALSE,0.6159999999999854,2.3910000000000764,TRUE,FALSE,4,no error,1
done as well,you've finished as well,CHI,MOT,FALSE,30,FALSE,0.9869999999998527,1.6490000000001146,TRUE,FALSE,3,no error,5
heard the hands rubbing in the lorrys,you heard your hands rubbing what,CHI,MOT,FALSE,30,FALSE,-0.05299999999999727,3.346999999999994,FALSE,TRUE,7,no error,6
never see big big red bus big red bus came,are you telling me you didn't see the red bus properly because you're having your nappie changed,CHI,MOT,TRUE,30,FALSE,0.835999999999899,4.249000000000024,TRUE,FALSE,10,other error,19
eyes come off,and I think what you're calling the green snake is actually a lizard,CHI,MOT,FALSE,30,FALSE,0,0.9060000000001764,FALSE,TRUE,3,no error,14
ears have come off,the ears have come off,CHI,MOT,TRUE,30,FALSE,0.11599999999998545,2.0659999999998035,FALSE,TRUE,4,other error,5
clouds,we can't see it today for the clouds can we,CHI,MOT,FALSE,30,FALSE,3.6010000000001128,1.3929999999998017,FALSE,TRUE,1,no error,11
big nips,what are you asking for darling,CHI,MOT,FALSE,30,FALSE,2.0750000000000455,2.7509999999999764,FALSE,TRUE,2,no error,6
big teeth gone,what gone,CHI,MOT,FALSE,30,FALSE,-1.5090000000000146,8.928000000000111,FALSE,TRUE,3,no error,2
trains a died,want your spoon back,CHI,MOT,FALSE,30,FALSE,-1.9149999999999636,1.9500000000000455,TRUE,TRUE,3,no error,4
locked in,what's not in,CHI,MOT,FALSE,31,FALSE,0.035000000000081855,2.310999999999922,TRUE,FALSE,2,no error,4
some more moneys,oh,CHI,MOT,TRUE,31,FALSE,-0.12000000000000455,1.747000000000071,FALSE,TRUE,3,other error,1
what happened,it doesn't matter we've plenty of things here haven't we,CHI,MOT,FALSE,31,FALSE,-0.5919999999998709,1.2649999999998727,TRUE,FALSE,2,no error,13
Mummy's broken hat,oh dear,CHI,MOT,FALSE,31,FALSE,0.31799999999998363,1.719000000000051,TRUE,FALSE,4,no error,2
run away,these are all pictures that we did together,CHI,MOT,FALSE,31,FALSE,-0.35999999999989996,1.6489999999998872,TRUE,FALSE,2,no error,8
mixer has gone,you took it upstairs Thomas,CHI,MOT,TRUE,31,FALSE,-0.17399999999997817,1.6019999999998618,TRUE,FALSE,3,other error,5
leaves dumper trucks,oh the dumper truck has to touch them,CHI,MOT,FALSE,31,FALSE,0.8710000000000946,1.6949999999999363,FALSE,TRUE,3,no error,8
leaves covered in,in snow,CHI,MOT,FALSE,31,FALSE,0.11599999999998545,1.8579999999999472,TRUE,FALSE,3,no error,2
um no reach them lights,can you not reach something,CHI,MOT,FALSE,31,FALSE,0.32500000000027285,3.83199999999988,FALSE,TRUE,5,no error,5
xxx got the net done,pardon,CHI,MOT,FALSE,31,FALSE,0.8939999999997781,4.388000000000375,TRUE,FALSE,5,no error,1
a xxx Purdie eating nuts,Purdie's eating nuts,CHI,MOT,FALSE,31,FALSE,0,2.3100000000000023,FALSE,TRUE,5,no error,4
strawberries,but he was still hungry,CHI,MOT,FALSE,31,FALSE,0.5810000000000173,1.5319999999999254,FALSE,TRUE,1,no error,5
gone,xxx,CHI,MOT,FALSE,31,FALSE,4.5470000000000255,1.009999999999991,TRUE,FALSE,1,no error,1
pears,strawberries oranges pears,CHI,MOT,FALSE,31,FALSE,0.14699999999993452,1.5450000000000728,FALSE,TRUE,1,no error,3
a traffics,is Spud a character from Bob_The_Builder Thomas,CHI,MOT,TRUE,31,FALSE,1.0679999999997563,1.8810000000003129,FALSE,TRUE,2,other error,9
Mummy brought it downstairs come come from,Mummy,CHI,MOT,FALSE,31,FALSE,0.7309999999999945,4.122000000000071,TRUE,FALSE,7,no error,1
Maltesers have done,aah,CHI,MOT,TRUE,31,FALSE,-2.181999999999789,2.1829999999999927,TRUE,FALSE,3,other error,1
Isabel done a wee wee,Isabel done a wee wee,CHI,MOT,TRUE,31,FALSE,0.15699999999969805,3.2270000000003165,TRUE,FALSE,5,other error,5
two steps,two steps,CHI,MOT,FALSE,31,FALSE,0.023000000000024556,1.3809999999999718,FALSE,TRUE,2,no error,2
make a rows,I don't know where the window cleaner gone to Thomas,CHI,MOT,FALSE,31,FALSE,2.369000000000028,2.158999999999992,FALSE,TRUE,3,no error,11
heard him,you heard him,CHI,MOT,FALSE,31,FALSE,-0.10399999999981446,1.3350000000000364,TRUE,FALSE,2,no error,3
digs,Doug,CHI,MOT,FALSE,31,FALSE,0,0.9290000000000873,FALSE,TRUE,1,no error,1
got xxx,and look,CHI,MOT,FALSE,31,FALSE,1.8500000000003638,3.076000000000022,TRUE,FALSE,2,no error,2
is lots,why don't you do the jigsaw again and then push them all out,CHI,MOT,TRUE,31,FALSE,0.18600000000014916,1.300000000000182,FALSE,TRUE,2,other error,14
xxx lots,there's lots,CHI,MOT,FALSE,31,FALSE,1.1210000000000377,1.9969999999999573,FALSE,TRUE,2,no error,3
a pilot said,what did the pilot say,CHI,MOT,FALSE,31,FALSE,-0.04100000000005366,2.3379999999999654,TRUE,FALSE,3,no error,5
I dropped one,you've dropped three,CHI,MOT,FALSE,31,FALSE,0.2839999999999918,1.3780000000000427,TRUE,FALSE,3,no error,4
another ones,there're quite a lot of small pieces here look that'll fit into the digger quite nicely won't they,CHI,MOT,TRUE,31,FALSE,2.0429999999998927,1.5440000000000964,FALSE,TRUE,2,other error,21
hear the bin men come,you can still hear the lorry,CHI,MOT,FALSE,31,FALSE,0.2370000000000232,1.5670000000000073,FALSE,TRUE,5,no error,6
parked a the main road,on the main road,CHI,MOT,FALSE,31,FALSE,0,2.4149999999999636,TRUE,FALSE,5,no error,4
Mummy got in there,tie them up there,CHI,MOT,FALSE,31,FALSE,0.6459999999999582,2.0420000000001437,TRUE,FALSE,4,no error,4
a got elephant,no,CHI,MOT,FALSE,31,FALSE,0.6149999999997817,2.04300000000012,TRUE,FALSE,3,no error,1
run away a table,run away on the table,CHI,MOT,FALSE,31,FALSE,1.4559999999996762,4.563000000000102,TRUE,FALSE,4,no error,5
run away,come on,CHI,MOT,FALSE,31,FALSE,-0.09300000000030195,3.0770000000002256,TRUE,FALSE,2,no error,2
a the a heard a talking,you heard them talking,CHI,MOT,FALSE,31,FALSE,0.2559999999998581,2.1359999999999673,TRUE,FALSE,6,no error,4
lot of tapes there,is there tapes,CHI,MOT,FALSE,31,FALSE,-0.052000000000134605,2.1019999999998618,FALSE,TRUE,4,no error,3
open the letters,oh you can play with the letters later,CHI,MOT,FALSE,31,FALSE,0.22700000000008913,1.946999999999889,FALSE,TRUE,3,no error,8
xxx letters,no,CHI,MOT,FALSE,31,FALSE,0.06700000000000728,1.7059999999999036,FALSE,TRUE,2,no error,1
no xxx letters,no,CHI,MOT,FALSE,31,FALSE,0.30700000000001637,2.586999999999989,FALSE,TRUE,3,no error,1
no more letters,well who have you got letters for,CHI,MOT,FALSE,31,FALSE,-0.012999999999919964,1.5599999999999454,FALSE,TRUE,3,no error,7
heard a big red pocket,mhm,CHI,MOT,FALSE,31,FALSE,0.03999999999996362,2.0529999999998836,TRUE,FALSE,5,no error,1
mine has gone,oh you'll have_to pour yourself another cup Thomas,CHI,MOT,TRUE,31,FALSE,0.7319999999999709,2.4190000000000964,TRUE,FALSE,3,other error,10
a whistles,you talking about the digger,CHI,MOT,TRUE,31,FALSE,1.2770000000000437,0.5800000000000409,FALSE,TRUE,2,other error,5
big eyes,I can't tell what you're saying,CHI,MOT,FALSE,31,FALSE,0.7549999999998818,1.9160000000001673,FALSE,TRUE,2,no error,8
lot of whistles,please,CHI,MOT,FALSE,31,FALSE,-0.14000000000010004,1.7999999999999545,FALSE,TRUE,3,no error,1
whistles,a lot of whistles,CHI,MOT,FALSE,31,FALSE,-0.7550000000001091,0.8009999999999309,FALSE,TRUE,1,no error,4
actions,I won't worry,CHI,MOT,FALSE,31,FALSE,0.8129999999999882,1.1370000000000005,FALSE,TRUE,1,no error,4
a the actions,pardon,CHI,MOT,FALSE,31,FALSE,0.25500000000000966,3.3089999999999975,FALSE,TRUE,3,no error,1
and chocolates please,we haven't excuse me,CHI,MOT,FALSE,31,FALSE,-1.8809999999998581,1.8809999999998581,FALSE,TRUE,3,no error,5
that two balls,yes,CHI,MOT,FALSE,31,FALSE,0.15999999999996817,1.427000000000021,FALSE,TRUE,3,no error,1
the boxes empty,are those boxes empty,CHI,MOT,FALSE,31,FALSE,0.11999999999989086,2.133000000000038,FALSE,TRUE,3,no error,4
got chocolates on it,no,CHI,MOT,FALSE,31,FALSE,0.1069999999999709,1.6399999999998727,TRUE,FALSE,4,no error,1
Postman_Pat bought that,shall we put your scarf round your neck,CHI,MOT,FALSE,31,FALSE,-0.9519999999999982,2.9139999999999873,TRUE,FALSE,4,no error,8
got ice cream there,yes,CHI,MOT,FALSE,31,FALSE,-0.13999999999998636,1.6259999999999764,TRUE,FALSE,4,no error,1
done that one,have you,CHI,MOT,FALSE,31,FALSE,-0.6389999999998963,1.4169999999999163,TRUE,FALSE,3,no error,2
colors,well that looks exciting isn't it,CHI,MOT,FALSE,31,FALSE,-0.9169999999999163,0.974999999999909,FALSE,TRUE,1,no error,7
stamps,some stamps,CHI,MOT,FALSE,31,FALSE,0.03500000000030923,1.3239999999996144,FALSE,TRUE,1,no error,2
gone somewhere,xxx,CHI,MOT,FALSE,31,FALSE,-1.7529999999997017,1.7529999999997017,TRUE,FALSE,2,no error,1
two o'clocks,one o'clock two o'clock,CHI,MOT,TRUE,31,FALSE,0.03999999999996362,1.1030000000000655,FALSE,TRUE,3,other error,6
have a bricks please,have,CHI,MOT,FALSE,31,FALSE,0.03499999999985448,1.4860000000001037,FALSE,TRUE,4,no error,1
a the boxes,right,CHI,MOT,FALSE,31,FALSE,3.913000000000011,4.155999999999949,FALSE,TRUE,3,no error,1
look all these boxes,we'll put,CHI,MOT,FALSE,31,FALSE,-1.0109999999999673,2.4039999999999964,FALSE,TRUE,4,no error,3
three sausages,oh sausages,CHI,MOT,FALSE,31,FALSE,0.7959999999998217,1.20699999999988,FALSE,TRUE,2,no error,2
blue ones,and blue engines,CHI,MOT,FALSE,31,FALSE,-1.625,1.6260000000002037,FALSE,TRUE,2,no error,3
all mended,oh,CHI,MOT,FALSE,32,FALSE,0.2549999999996544,1.625,TRUE,FALSE,2,no error,1
got my wellies,you've been for a walk,CHI,MOT,FALSE,32,FALSE,0.6149999999999523,1.55600000000004,TRUE,TRUE,3,no error,6
oh not got my rubbish bags,you can play Postman_Pat,CHI,MOT,FALSE,32,FALSE,-2.879000000000019,2.97199999999998,TRUE,TRUE,6,no error,5
kissing mistletoes,kissing mistletoes,CHI,MOT,TRUE,32,FALSE,0.1049999999999045,2.090000000000032,FALSE,TRUE,2,other error,2
mistletoes,oh you missed your party,CHI,MOT,TRUE,32,FALSE,-0.5460000000000491,1.7770000000000437,FALSE,TRUE,1,other error,5
lots_of poos,where're you going now Thomas,CHI,MOT,FALSE,32,FALSE,4.526000000000067,1.8179999999999836,FALSE,TRUE,3,no error,6
bought brought another one,you've brought another one,CHI,MOT,TRUE,32,FALSE,-0.16200000000003456,1.5090000000000146,TRUE,FALSE,4,other error,5
xxx boxes,yes,CHI,MOT,FALSE,32,FALSE,-0.0809999999999036,1.2789999999999964,FALSE,TRUE,2,no error,1
xxx Thomas gone,be careful because there are little chairs going into the furniture Thomas,CHI,MOT,FALSE,32,FALSE,-1.83299999999997,1.83400000000006,TRUE,FALSE,3,no error,12
me locked out,what does Old_Macdonald have on his farm,CHI,MOT,FALSE,32,FALSE,0.6040000000000418,1.115000000000009,TRUE,FALSE,3,no error,8
man told,the man said abra_cadabra and things started to appear didn't they,CHI,MOT,FALSE,32,FALSE,0.7709999999997308,1.3120000000003529,TRUE,FALSE,2,no error,13
run around a dustbin,you're talking about the dustbin aren't you,CHI,MOT,FALSE,32,FALSE,0.6329999999999814,4.236999999999995,TRUE,FALSE,4,no error,9
pa dried rain,Incey_Wincey spider,CHI,MOT,FALSE,32,FALSE,0.32499999999998863,2.3100000000000023,TRUE,FALSE,3,no error,3
washed the spider out,out the came the sunshine and dried up all the rain,CHI,MOT,FALSE,32,FALSE,0.5409999999999968,2.1129999999999995,TRUE,FALSE,4,no error,11
a seen it,yes,CHI,MOT,FALSE,32,FALSE,-0.010999999999967258,1.717999999999961,TRUE,FALSE,3,no error,1
not van it's a bus gone back,oh I'm a sorry,CHI,MOT,FALSE,32,FALSE,-0.03499999999996817,2.6709999999999354,TRUE,FALSE,8,no error,5
and cards,come on,CHI,MOT,FALSE,32,FALSE,0.3949999999999818,1.1489999999998872,FALSE,TRUE,2,no error,2
post letters,people won't be sending Christmas cards to us,CHI,MOT,FALSE,32,FALSE,0.03499999999985448,1.856999999999971,FALSE,TRUE,2,no error,9
strapped in the lorry,you're strapped in the lorry,CHI,MOT,FALSE,32,FALSE,0.010999999999967258,1.7649999999998727,TRUE,FALSE,4,no error,6
thank you letters,thank you letters,CHI,MOT,FALSE,32,FALSE,0.6270000000000095,0.8480000000000132,FALSE,TRUE,3,no error,3
it green stripes,oh yes,CHI,MOT,FALSE,32,FALSE,0.011999999999943611,1.856999999999971,FALSE,TRUE,3,no error,2
choc fell chocolates,oh chocolates from Sue,CHI,MOT,FALSE,32,FALSE,-0.02299999999991087,1.6949999999999363,TRUE,FALSE,3,no error,4
xxx my bricks,why don't you shine your torch into that box and see if you can see inside,CHI,MOT,FALSE,32,FALSE,0.18599999999997863,3.274000000000001,FALSE,TRUE,3,no error,17
I found it,you found it,CHI,MOT,FALSE,32,FALSE,0.8669999999999618,0.8589999999999236,TRUE,FALSE,3,no error,3
done it,you've done it,CHI,MOT,FALSE,32,FALSE,0.3369999999999891,0.5460000000000491,TRUE,FALSE,2,no error,4
oh spilt it,now it had a loaf of bread dropped in it it won't be very nice will it,CHI,MOT,FALSE,32,FALSE,-0.4130000000000109,1.5050000000001091,TRUE,FALSE,3,no error,18
bushes,we talked about we talked about bushes this morning,CHI,MOT,FALSE,32,FALSE,1.4980000000000473,0.556999999999789,FALSE,TRUE,1,no error,9
bushes,look there's the teddy bear,CHI,MOT,FALSE,32,FALSE,1.4280000000003383,0.7529999999997017,FALSE,TRUE,1,no error,6
dicky birds eat holly berries,Isabelle eats holly berries,CHI,MOT,FALSE,32,FALSE,0.057999999999992724,2.7270000000003165,FALSE,TRUE,5,no error,4
no dust bags,and do you know what those are,CHI,MOT,FALSE,32,FALSE,-1.393000000000029,2.4609999999997854,FALSE,TRUE,3,no error,7
bit lower down,it's lower down,CHI,MOT,FALSE,32,FALSE,-0.23200000000019827,1.578000000000202,TRUE,FALSE,3,no error,4
mhm no windows,look,CHI,MOT,FALSE,32,FALSE,0.10500000000001819,2.91399999999976,FALSE,TRUE,3,no error,1
no lights,no,CHI,MOT,FALSE,32,FALSE,0.22100000000000364,1.706000000000131,FALSE,TRUE,2,no error,1
what the mouth gone,it got two eyes,CHI,MOT,FALSE,32,FALSE,-0.8479999999999563,1.2309999999999945,TRUE,FALSE,4,no error,4
I found it,you found it,CHI,MOT,FALSE,32,FALSE,0.19100000000003092,1.0679999999999836,TRUE,FALSE,3,no error,3
fireworks in Christmas tree too,well yes,CHI,MOT,FALSE,32,FALSE,0.2439999999999145,2.3559999999999945,FALSE,TRUE,5,no error,2
uh I want that a clocks now,you want the clock now,CHI,MOT,TRUE,32,FALSE,0.03999999999996362,2.8330000000000837,FALSE,TRUE,7,other error,5
a washed my hair,well we've wet it haven't we,CHI,MOT,FALSE,32,FALSE,0.09300000000001774,1.5209999999999582,TRUE,FALSE,4,no error,8
a a found something there,and Tigger,CHI,MOT,FALSE,32,FALSE,-1.3470000000000937,2.54200000000003,TRUE,FALSE,5,no error,2
lots,I've only just realized,CHI,MOT,FALSE,32,FALSE,-0.5219999999999345,0.5229999999996835,FALSE,TRUE,1,no error,5
big letters an the baby letters,it's,CHI,MOT,FALSE,33,FALSE,0,2.531000000000006,FALSE,TRUE,6,no error,2
lot a pressies,oh you got a lot of books,CHI,MOT,FALSE,33,FALSE,2.032000000000153,1.788000000000011,FALSE,TRUE,3,no error,7
thrown it somewhere,you've thrown it somewhere,CHI,MOT,FALSE,33,FALSE,0.09300000000001774,1.3230000000000075,TRUE,FALSE,3,no error,5
like Aunty_Mabel done,like Aunty_Mabel does,CHI,MOT,TRUE,33,FALSE,0.01099999999999568,2.427000000000021,TRUE,FALSE,4,other error,4
got your xxx,she can see it,CHI,MOT,FALSE,33,FALSE,-0.23200000000002774,0.7080000000000268,TRUE,FALSE,3,no error,4
that cream gone in here,pardon,CHI,MOT,FALSE,33,FALSE,0.012000000000057298,2.1359999999999673,TRUE,FALSE,5,no error,1
that gone,the cream,CHI,MOT,FALSE,33,FALSE,-0.3129999999999882,0.9400000000000546,TRUE,FALSE,2,no error,2
I wanted it,you want it,CHI,MOT,TRUE,33,FALSE,0.012000000000170985,0.7429999999999382,TRUE,FALSE,3,other error,3
bananas,bananas in pyjamas are coming down the stairs,CHI,MOT,FALSE,33,FALSE,-0.8240000000000691,1.5090000000000146,FALSE,TRUE,1,no error,8
bananas in pyjamas,bananas in pyjamas,CHI,MOT,FALSE,33,FALSE,-2.786000000000058,3.076000000000022,FALSE,TRUE,3,no error,3
oh your stuck,that was Purdie,CHI,MOT,FALSE,33,FALSE,-1.6599999999999682,1.7989999999999782,TRUE,FALSE,3,no error,3
a doggy poos,no,CHI,MOT,FALSE,33,FALSE,0.09300000000007458,1.5329999999999018,FALSE,TRUE,3,no error,1
put slippers,well wait to put your slippers on until we've got your trousers back on,CHI,MOT,FALSE,33,FALSE,-0.03499999999996817,1.3700000000000045,FALSE,TRUE,2,no error,15
where has Thomas gone,right we'll leave your,CHI,MOT,TRUE,33,FALSE,-2.089999999999918,2.5079999999999245,TRUE,FALSE,4,other error,5
sausages got red breast,saus sausages have red breast's,CHI,MOT,FALSE,33,FALSE,-0.03499999999985448,2.6929999999997563,TRUE,FALSE,4,no error,6
got two lots of chocolates,two chocolates,CHI,MOT,TRUE,33,FALSE,-0.2669999999998254,1.961999999999989,FALSE,TRUE,5,other error,2
tired,you slept well last night didn't you,CHI,MOT,FALSE,33,FALSE,1.1490000000001146,0.9169999999999163,TRUE,FALSE,1,no error,8
somebody bumped my head,you bumped your head,CHI,MOT,FALSE,33,FALSE,0.7229999999999563,3.0299999999997453,TRUE,FALSE,4,no error,4
big noses,big,CHI,MOT,FALSE,33,FALSE,0.057999999999992724,1.3120000000000118,FALSE,TRUE,2,no error,1
that's tacked,oh is it still blue tacked,CHI,MOT,FALSE,33,FALSE,0.6730000000002292,1.8580000000001746,TRUE,FALSE,3,no error,6
oh dogs opening a mouth,he got some,CHI,MOT,FALSE,33,FALSE,0.18499999999994543,2.69399999999996,FALSE,TRUE,5,no error,3
they're lots,they're lots,CHI,MOT,FALSE,33,FALSE,0.03499999999985448,1.2300000000000182,FALSE,TRUE,3,no error,3
got six eggs,so one is yours,CHI,MOT,FALSE,33,FALSE,-1.5209999999999582,2.275000000000091,FALSE,TRUE,3,no error,4
where's the moneys,well that's your purse isn't it,CHI,MOT,TRUE,33,FALSE,0.057999999999992724,1.6710000000000491,FALSE,TRUE,4,other error,8
backs on,yes,CHI,MOT,FALSE,33,FALSE,0.15100000000029468,1.7409999999999854,FALSE,TRUE,2,no error,1
pieces,of this jigsaw,CHI,MOT,FALSE,33,FALSE,-0.9389999999998508,0.9400000000000546,FALSE,TRUE,1,no error,3
it's spilt xxx,oh my goodness,CHI,MOT,FALSE,33,FALSE,-0.20199999999999818,2.115000000000009,TRUE,FALSE,4,no error,3
I just did,you might have done because we had an s on the board a minute ago,CHI,MOT,FALSE,33,FALSE,-0.10799999999994725,1.81899999999996,TRUE,FALSE,3,no error,15
do you eh been a pussy cat say not snotty my nose,what did you say,CHI,MOT,FALSE,33,FALSE,0.027000000000043656,7.8659999999999854,TRUE,FALSE,12,no error,4
just left,that's lovely,CHI,MOT,FALSE,33,FALSE,0.24299999999993815,2.2839999999996508,TRUE,FALSE,2,no error,3
got cranberries,it got Sainsbury's in it,CHI,MOT,FALSE,33,FALSE,-0.08199999999987995,1.8699999999998909,FALSE,TRUE,2,no error,6
emptying lots_of books,no,CHI,MOT,FALSE,33,FALSE,0.010999999999967258,3.0419999999999163,FALSE,TRUE,4,no error,1
eating a sausages,right,CHI,MOT,FALSE,33,FALSE,0.8759999999999764,1.8920000000000528,FALSE,TRUE,3,no error,1
lots_of engines,lots_of engines,CHI,MOT,FALSE,33,FALSE,-0.012000000000000455,2.8100000000000023,FALSE,TRUE,3,no error,3
lots and lots big bears on my holiday,what about your holiday Thomas,CHI,MOT,FALSE,33,FALSE,0.9410000000000309,4.17999999999995,FALSE,TRUE,8,no error,5
I got letters and lots_of parcels,yes,CHI,MOT,FALSE,33,FALSE,-0.047000000000025466,3.9010000000000673,TRUE,FALSE,7,no error,1
eaten it,you pinched it and ate it didn't you,CHI,MOT,FALSE,33,FALSE,-0.010999999999967258,1.0449999999998454,TRUE,FALSE,2,no error,9
a big j job xxx children,he's doing a big job,CHI,MOT,FALSE,33,FALSE,0.9409999999998035,3.2270000000003165,FALSE,TRUE,6,no error,6
my presents,I'll start putting these away,CHI,MOT,FALSE,33,FALSE,-0.08199999999987995,1.9739999999997053,FALSE,TRUE,2,no error,6
my digger man dropped,mhm,CHI,MOT,FALSE,33,FALSE,0.2559999999998581,1.6480000000001382,TRUE,FALSE,4,no error,1
build some ladders,build some ladders,CHI,MOT,FALSE,33,FALSE,0.08100000000013097,1.3229999999998654,FALSE,TRUE,3,no error,3
tripped something under my head,you tripped something under your head,CHI,MOT,FALSE,33,FALSE,4.398000000000138,1.9039999999999964,TRUE,FALSE,5,no error,6
I got it cracked now,pardon,CHI,MOT,FALSE,33,FALSE,-0.057999999999992724,2.530999999999949,TRUE,FALSE,5,no error,1
got it crack,no,CHI,MOT,FALSE,33,FALSE,0.08199999999987995,1.6130000000002838,TRUE,FALSE,3,no error,1
got a telephone on board and I have a telephone in my tummy,Bob_The_Builder has got a telephone on board and you've a telephone in your tummy,CHI,MOT,FALSE,34,FALSE,1.183999999999969,4.469000000000051,TRUE,FALSE,13,no error,17
just opened the track on the track,you've just opened the track,CHI,MOT,FALSE,34,FALSE,0.4639999999999418,2.032000000000153,TRUE,FALSE,7,no error,6
it's all broke broken,it all broken,CHI,MOT,TRUE,34,FALSE,0.27800000000002,2.310999999999922,TRUE,FALSE,5,other error,3
it broken,it hasn't broken,CHI,MOT,TRUE,34,FALSE,0.3710000000000946,1.6489999999998872,TRUE,FALSE,2,other error,4
you've never worn shoe,and what color's that shoe,CHI,MOT,FALSE,34,FALSE,0.20899999999983265,1.8920000000002801,TRUE,FALSE,5,no error,6
I felt so proud,so proud,CHI,MOT,FALSE,34,FALSE,-0.25499999999999545,2.3029999999999973,TRUE,FALSE,4,no error,2
what you brought,who gave you that,CHI,MOT,FALSE,34,FALSE,-0.06999999999993634,1.5209999999999582,TRUE,FALSE,3,no error,4
the train driver said I like you,you like me,CHI,MOT,FALSE,34,FALSE,-0.09300000000007458,2.82100000000014,TRUE,FALSE,7,no error,3
wet,oh silly_billy,CHI,MOT,FALSE,34,FALSE,0.057999999999992724,1.3809999999998581,TRUE,FALSE,1,no error,3
table gone,what gone,CHI,MOT,FALSE,34,FALSE,0.5690000000000026,2.286999999999992,TRUE,FALSE,2,no error,2
my table gone,your what gone,CHI,MOT,FALSE,34,FALSE,0.058000000000006935,1.9509999999999934,TRUE,FALSE,3,no error,3
dustbin lorry lots,there we are,CHI,MOT,FALSE,34,FALSE,0.63900000000001,1.625,FALSE,TRUE,3,no error,3
I caught a fish alive,you've caught a fish alive,CHI,MOT,FALSE,34,FALSE,1.7529999999997017,1.9850000000001273,TRUE,FALSE,5,no error,6
got my coat,you're driving off now,CHI,MOT,FALSE,34,FALSE,0.1390000000001237,1.4169999999999163,TRUE,FALSE,3,no error,5
in his vans,collecting all his bags,CHI,MOT,FALSE,34,FALSE,-1.7530000000000001,1.7530000000000001,FALSE,TRUE,3,no error,4
dustbin men,oh dustbin men,CHI,MOT,FALSE,34,FALSE,0.26700000000005275,1.4399999999998272,FALSE,TRUE,2,no error,3
Thomas bees,that's right,CHI,MOT,FALSE,34,FALSE,0.29500000000007276,1.3799999999996544,FALSE,TRUE,2,no error,3
I clowned,you're a clown,CHI,MOT,TRUE,34,FALSE,0.08199999999987995,0.6900000000000546,TRUE,FALSE,2,other error,4
wheels on the bus go red red red,Thomas you silly_billy,CHI,MOT,FALSE,34,FALSE,0.6499999999998636,3.413000000000011,FALSE,TRUE,8,no error,4
what's it called,and one day,CHI,MOT,FALSE,34,FALSE,-1.6829999999999927,1.6829999999999927,TRUE,FALSE,4,no error,3
it's mornings now,no,CHI,MOT,TRUE,34,FALSE,0.08100000000013097,1.7529999999997017,FALSE,TRUE,4,other error,1
where did it come from,I'm not sure,CHI,MOT,FALSE,34,FALSE,0,2.2520000000000095,TRUE,FALSE,5,no error,4
he's stuck,look,CHI,MOT,FALSE,34,FALSE,0.40699999999969805,1.0909999999998945,TRUE,FALSE,3,no error,1
